username,name,email,contact,student_id,dob,quarterlyAssessment,marks,total,grade
Alysson_635,Alysson Kerluke,Alysson_635@gmail.com,9999999999,599_Alysson_635,1996-04-04,3,42,300,A+
Lulu_379,Lulu Buckridge,Lulu_379@gmail.com,9999999999,102_Lulu_379,1994-04-10,3,247,300,C
Deanna_300,Deanna Beier,Deanna_300@gmail.com,9999999999,55_Deanna_300,2005-08-27,3,182,300,D
Hugh_887,Hugh Bruen,Hugh_887@gmail.com,9999999999,61_Hugh_887,1997-03-30,3,251,300,A+
Jon_777,Jon Lockman,Jon_777@gmail.com,9999999999,472_Jon_777,1996-07-08,3,158,300,D
Cleveland_994,Cleveland Block,Cleveland_994@gmail.com,9999999999,586_Cleveland_994,1994-08-30,3,259,300,D
Virgie_796,Virgie Carter,Virgie_796@gmail.com,9999999999,878_Virgie_796,2005-07-08,3,136,300,B
Britney_447,Britney Tromp,Britney_447@gmail.com,9999999999,527_Britney_447,1992-04-25,3,99,300,C
Reid_455,Reid Bashirian,Reid_455@gmail.com,9999999999,614_Reid_455,1994-05-02,3,110,300,B
Mayra_427,Mayra Bradtke,Mayra_427@gmail.com,9999999999,197_Mayra_427,1991-03-27,3,278,300,A
