username,name,email,contact,student_id,guardian_name,enrolled_on,aadhar_token
anna_204,Anna Williamson,anna_204@gmail.com,9999999999,197_anna_204,Marshall Beier,2022-10-29,80368a57b201bac8eb900d2ab4d02700
harry_114,Harry Bartoletti,harry_114@gmail.com,9999999999,7_harry_114,Yoshiko Blanda,2022-02-17,91b4c3c71893197d019e583f5288289d
betty_134,Betty Schuster,betty_134@gmail.com,9999999999,624_betty_134,Mack Bashirian,2021-06-07,cca4e67fc0f9f3d770152296bc5b6c79
jarod_927,Jarod Rolfson,jarod_927@gmail.com,9999999999,333_jarod_927,Jesse Gleichner-Effertz,2022-04-21,95b464e0bbaabce00dad87e7e142c717
joana_717,Joana Donnelly,joana_717@gmail.com,9999999999,109_joana_717,Tamara Sporer,2022-06-18,8b74d9d1f8b89e7200d851c751866774
jayme_75,Jayme Littel,jayme_75@gmail.com,9999999999,640_jayme_75,Adam Senger,2020-11-21,5ea0787c8a28541c8a7b3f65abf45e2a
loyce_867,Loyce Shields,loyce_867@gmail.com,9999999999,558_loyce_867,Oswald Heathcote,2021-09-17,b67b3c47f049abc9ae4d9f8c2b1baf54
isabel_339,Isabel Beahan,isabel_339@gmail.com,9999999999,387_isabel_339,Cortney Nolan,2020-12-22,eb1ce8f0acce6c655e6894017ff5ef71
ewald_644,Ewald Greenholt,ewald_644@gmail.com,9999999999,225_ewald_644,Dawson Berge,2020-05-21,a010d142e79a53425e6996f062e2d7d7
angie_449,Angie Reilly,angie_449@gmail.com,9999999999,257_angie_449,Keyon Lockman,2022-05-26,2c9ea6e2cf34cf5aad3365b6506daeba
