username,student_name,email,contact,student_id,reference_id,guardian_name,enrolled_on,aadhar_token,dob
elvie_96,Elvie Runte,elvie_96@gmail.com,9999999999,696_elvie_96,ref_696_elvie_96,Dameon Effertz,2020-11-20,7049e940b5c6be84bee7893e37a9df13,2000-10-22
zella_225,Zella Kessler,zella_225@gmail.com,9999999999,861_zella_225,ref_861_zella_225,Aileen Renner,2022-01-28,26da70a091e87376165da6ef84ca6f58,2002-07-27
lauretta_470,Lauretta Kuphal,lauretta_470@gmail.com,9999999999,291_lauretta_470,ref_291_lauretta_470,Haven Abbott,2022-10-06,af516266613c00f07bcd1e934e405f0f,2004-06-12
meda_467,Meda Lesch,meda_467@gmail.com,9999999999,658_meda_467,ref_658_meda_467,Hanna Hills,2020-07-24,f1052326b90968706759b0783db46051,1991-03-11
dawson_335,Dawson Monahan,dawson_335@gmail.com,9999999999,933_dawson_335,ref_933_dawson_335,Marta Hamill,2022-07-12,97e65c3e52cb75e1fb2f41ba663f34cc,1994-07-24
erling_893,Erling Cremin,erling_893@gmail.com,9999999999,261_erling_893,ref_261_erling_893,Christina Mann,2022-11-04,2b8f2de2fee7afed9eb0f7e20eda5566,1996-09-28
ellie_30,Ellie Kuvalis,ellie_30@gmail.com,9999999999,340_ellie_30,ref_340_ellie_30,Reva Murphy,2020-09-29,f0032c0dd8a733a3912fc404a46ee090,1993-11-15
garret_86,Garret Rodriguez,garret_86@gmail.com,9999999999,761_garret_86,ref_761_garret_86,Gavin Hirthe,2020-11-23,233b46391b01b7213567600778200a5d,2002-03-28
maverick_138,Maverick McKenzie,maverick_138@gmail.com,9999999999,653_maverick_138,ref_653_maverick_138,Kenneth Hilpert,2022-05-21,ae8d178de983bc2834cd058c671e3794,1994-07-20
tyshawn_248,Tyshawn O'Connell-Haley,tyshawn_248@gmail.com,9999999999,589_tyshawn_248,ref_589_tyshawn_248,Clementine Feest,2020-01-06,46dea1b8e082f3c6afc57c30b2a32212,1999-09-24
